baseline_arm_1,year_5_arm_1
subject_id,subject_id
redcap_repeat_instrument,redcap_repeat_instrument
redcap_repeat_instance,redcap_repeat_instance
site_id,fusite_v2_y3_y4_y5
data_entry,datadate_v2_y3_y4_y5
date_death,fuddth_v2_y3_y4_y5
date_contact,fudtlcont_v2_y3_y4_y5
cause_death,fucausedth_v2_y3_y4_y5
other_cause_death,fudthothr_v2_y3_y4_y5
tanner_stage_done,tanner_stage_done_6e26c1_v2_y3_y4_y5
tanner_stage,tanner_stage_fu_v2_y3_y4_y5
fam_his_pkd,fuchfamhst_v2_y3_y4_y5
siblings,fusibl_v2_y3_y4_y5
num_sib_aff,fusibl_num_v2_y3_y4_y5
sibl_sub_id,fusib_id_v2_y3_y4_y5
mthr,fumthr_v2_y3_y4_y5
fthr,fufthr_v2_y3_y4_y5
grandp,fugrandp_v2_y3_y4_y5
prcon,fuprcon_v2_y3_y4_y5
miscarg,fumiscarg_v2_y3_y4_y5
birth_weight,weight_v2_y3_y4_y5
birth_height,height_v2_y3_y4_y5
uritract,uritract_v2_v2_v2_v2_v2
uritractdx,uritractdx_v2_v2_v2_v2_v2
uritractcp,uritractcp_v2_v2_v2_v2_v2
macro_hem,macro_hem_v2_v2_v2_v2_v2
micro_hem,micro_hem_v2_v2_v2_v2_v2
prot_album,prot_album_v2_v2_v2_v2_v2
urolit,urolit_v2_v2_v2_v2_v2
enur,enur_v2_v2_v2_v2_v2
nephcal,nephcal_v2_v2_v2_v2_v2
nephcaldx,nephcaldx_v2_v2_v2_v2_v2
renal,renal_v2_v2_v2_v2_v2
renaldx,renaldx_v2_v2_v2_v2_v2
hypert,hypert_v2_v2_v2_v2_v2
hypertdx,hypertdx_v2_v2_v2_v2_v2
amb_bp,amb_bp_v2_v2_v2_v2_v2
mean_night_bp,mean_night_bp_v2_v2_v2_v2_v2
mean_nt_map,mean_nt_map_v2_v2_v2_v2_v2
mean_nt_hr,mean_nt_hr_v2_v2_v2_v2_v2
echo,echo_v2_v2_v2_v2_v2
echo_date,echo_date_v2_v2_v2_v2_v2
echo_lvh,echo_lvh_v2_v2_v2_v2_v2
echo_rvh,echo_rvh_v2_v2_v2_v2_v2
dev_delay,dev_delay_v2_v2_v2_v2_v2
dev_delay_date,dev_delay_date_v2_v2_v2_v2_v2
intransm,intransm_v2_v2_v2_v2_v2
spleen,spleen_v2_v2_v2_v2_v2
spleendt,spleendt_v2_v2_v2_v2_v2
pn,pn_v2_v2_v2_v2_v2
pnab,pnab_v2_v2_v2_v2_v2
pnflnk,pnflnk_v2_v2_v2_v2_v2
pnbk,pnbk_v2_v2_v2_v2_v2
lstcreatinedt,lstcreatinedt_v2_v2_v2_v2_v2
lstcreatine,lstcreatine_v2_v2_v2_v2_v2
creatinelvl,creatinelvl_v2_v2_v2_v2_v2
bun,bun_v2_v2_v2_v2_v2
cystatin_c,cystatin_c_v2_v2_v2_v2_v2
schwartz_gfr,schwartz_gfr_v2_v2_v2_v2_v2
ckid_gfr,ckid_gfr_v2_v2_v2_v2_v2
hgb,hgb_v2_v2_v2_v2_v2
hct,hct_v2_v2_v2_v2_v2
mcv,mcv_v2_v2_v2_v2_v2
mchc,mchc_v2_v2_v2_v2_v2
wbc,wbc_v2_v2_v2_v2_v2
platecount,platecount_v2_v2_v2_v2_v2
fe,fe_v2_v2_v2_v2_v2
ferr,ferr_v2_v2_v2_v2_v2
transf,transf_v2_v2_v2_v2_v2
pf,pf_v2_v2_v2_v2_v2
inr,inr_v2_v2_v2_v2_v2
crp,crp_v2_v2_v2_v2_v2
k,k_v2_v2_v2_v2_v2
na,na_v2_v2_v2_v2_v2
ca,ca_v2_v2_v2_v2_v2
po,po_v2_v2_v2_v2_v2
uric,uric_v2_v2_v2_v2_v2
hco,hco_v2_v2_v2_v2_v2
alt,alt_v2_v2_v2_v2_v2
ast,ast_v2_v2_v2_v2_v2
ph,ph_v2_v2_v2_v2_v2
gamma,gamma_v2_v2_v2_v2_v2
bilirub,bilirub_v2_v2_v2_v2_v2
alk_phos,alk_phos_v2_v2_v2_v2_v2
album,album_v2_v2_v2_v2_v2
pth,pth_v2_v2_v2_v2_v2
choles,choles_v2_v2_v2_v2_v2
hdl,hdl_v2_v2_v2_v2_v2
ldl,ldl_v2_v2_v2_v2_v2
mg_dl,mg_dl_v2_v2_v2_v2_v2
trigly,trigly_v2_v2_v2_v2_v2
urine_prot,urine_prot_v2_v2_v2_v2_v2
urine_calc,urine_calc_v2_v2_v2_v2_v2
urine_creat,urine_creat_v2_v2_v2_v2_v2
hemat,hemat_v2_v2_v2_v2_v2
hematuria_rbc,hematuria_rbc_v2_v2_v2_v2_v2
kimage,kimage_v2_v2_v2_v2_v2
kultsound,kultsound_v2_v2_v2_v2_v2
kultsounddt,kultsounddt_v2_v2_v2_v2_v2
kultsoundecho,kultsoundecho_v2_v2_v2_v2_v2
kultsound_crdiff,kultsound_crdiff_v2_v2_v2_v2_v2
kultsoundres,kultsoundres_v2_v2_v2_v2_v2
kultsound_cyst_location,kultsound_cyst_location_v2_v2_v2_v2_v2
ptpl,ptpl_v2_v2_v2_v2_v2
ptpl_2,ptpl_2_v2_v2_v2_v2_v2
kctscan,kctscan_v2_v2_v2_v2_v2
kctscandt,kctscandt_v2_v2_v2_v2_v2
kctscanres,kctscanres_v2_v2_v2_v2_v2
kmri,kmri_v2_v2_v2_v2_v2
kmridt,kmridt_v2_v2_v2_v2_v2
kmrires,kmrires_v2_v2_v2_v2_v2
othrstdy,othrstdy_v2_v2_v2_v2_v2
lvrimg,lvrimg_v2_v2_v2_v2_v2
lvrult,lvrult_v2_v2_v2_v2_v2
lvrultdt,lvrultdt_v2_v2_v2_v2_v2
lvrultres,lvrultres_v2_v2_v2_v2_v2
lvrultheplev,lvrultheplev_v2_v2_v2_v2_v2
lvrult_cyst,lvrult_cyst_v2_v2_v2_v2_v2
lveult_fibrosis,lveult_fibrosis_v2_v2_v2_v2_v2
lvrctscan,lvrctscan_v2_v2_v2_v2_v2
port_flow,port_flow_v2_v2_v2_v2_v2
lvrctscandt,lvrctscandt_v2_v2_v2_v2_v2
lvrctscanres,lvrctscanres_v2_v2_v2_v2_v2
lvrctheplev,lvrctheplev_v2_v2_v2_v2_v2
lvrctscan_cyst,lvrctscan_cyst_v2_v2_v2_v2_v2
lvrctscan_fibrosis,lvrctscan_fibrosis_v2_v2_v2_v2_v2
lvrmri,lvrmri_v2_v2_v2_v2_v2
lvrmridt,lvrmridt_v2_v2_v2_v2_v2
lvrmrires,lvrmrires_v2_v2_v2_v2_v2
lvrmriheplev,lvrmriheplev_v2_v2_v2_v2_v2
lvrmri_cyst,lvrmri_cyst_v2_v2_v2_v2_v2
